Location,Asthma,Smoking,Population,Median AQI,Population Density,Crowded Housing,Access to Care - Annual
Florida,8.7,14.5,20992000.0,35.69230769230769,391.45920745920745,3.0,
Georgia,8.9,16.1,10294000.0,38.55172413793103,178.98562064228958,2.3,
Hawaii,9.3,13.4,1343000.0,18.25,209.09232445897555,8.6,
Idaho,8.6,14.7,1750900.0,23.80952380952381,21.186307370255193,2.8,
Illinois,8.7,15.5,12362300.0,35.51851851851852,222.66791548839137,2.3,
Indiana,10.0,21.1,6511800.0,34.5,181.76184893652655,1.8,
Iowa,7.9,16.6,3060200.0,34.4375,54.786329376801476,1.6,
Kansas,9.8,17.2,2811200.0,32.0,34.38398219156301,2.2,
Kentucky,11.5,23.4,4319300.0,38.22222222222222,109.38813756774553,1.9,
Louisiana,8.9,20.5,4498600.0,34.391304347826086,104.12461809091751,2.2,
Maine,12.3,17.8,1302300.0,33.7,42.22351911292676,1.3,
Maryland,9.3,12.5,5875500.0,38.0,605.2848459874317,2.1,
Massachusetts,10.2,13.4,6650800.0,37.53846153846154,852.6666666666666,2.1,
Michigan,11.2,18.9,9765600.0,34.32142857142857,172.723252975822,1.7,
Minnesota,8.3,15.1,5514800.0,29.285714285714285,69.25791502882188,2.3,
Mississippi,9.7,20.5,2867100.0,38.6,61.1022313151333,2.4,
Missouri,9.4,19.4,5939900.0,38.833333333333336,86.40860027348637,1.9,
Montana,10.0,18.0,1039400.0,26.31578947368421,7.141384854272876,1.8,
